pair,i,j,c_ij,model,SSE1,SSE2,SSE3,ok2,ok3
1206,12,6,38,1,6.41483666599e-06,,,0,0
1207,12,7,38,1,9.47129396550e-06,,,0,0
1208,12,8,38,1,5.60082181729e-06,,,0,0
1209,12,9,38,1,5.84458063052e-06,,,0,0
1210,12,10,38,1,.0000161074282378,,,0,0
1211,12,11,19,1,.0000372780421867,,,0,0
1212,12,12,38,1,.0010478947191936,,,0,0
1213,12,13,38,1,.0001526783503315,,,0,0
1214,12,14,38,1,.000637422658913,,,0,0
1215,12,15,38,1,.0029521460511822,,,0,0
1216,12,16,38,1,.0031256430852046,,,0,0
1217,12,17,19,1,.0003470378889416,,,0,0
1218,12,18,38,1,.0011446533744697,,,0,0
1301,13,1,19,1,.0005115044948998,,,0,0
1302,13,2,38,1,.0008038883413257,,,0,0
1303,13,3,38,1,.0069053212490932,,,0,0
1304,13,4,38,1,.0057092848194176,,,0,0
1305,13,5,38,1,.0037184549263528,,,0,0
1306,13,6,38,1,.0017458290057602,,,0,0
1307,13,7,38,1,.0023226990310635,,,0,0
1308,13,8,38,1,.002252283537275,,,0,0
1309,13,9,38,1,.0019297094163748,,,0,0
1310,13,10,38,1,.0031128291070417,,,0,0
1311,13,11,38,1,.0027163748679399,,,0,0
1312,13,12,38,1,.0034408893078001,,,0,0
1313,13,13,38,1,.0097131589001899,,,0,0
1314,13,14,38,1,.0008544986865985,,,0,0
1315,13,15,19,1,.0015469102735295,,,0,0
1316,13,16,38,1,.0003439839229941,,,0,0
1317,13,17,38,1,.000881710143802,,,0,0
1318,13,18,38,1,.0015935083454613,,,0,0
1401,14,1,38,1,.0002552651563655,,,0,0
1402,14,2,38,1,.0025173335082442,,,0,0
1403,14,3,38,1,.0020913795239991,,,0,0
1404,14,4,38,1,.0006029301906296,,,0,0
1405,14,5,38,1,.0009787800790838,,,0,0
1406,14,6,38,1,.0009410081253753,,,0,0
1407,14,7,38,1,.002186882331858,,,0,0
1408,14,8,38,1,.0009972179239147,,,0,0
1409,14,9,38,1,.0003799600142284,,,0,0
1410,14,10,12.66666666666667,1,.0003076231969182,,,0,0
1411,14,11,38,1,.0020198714962261,,,0,0
1412,14,12,38,1,.0067552507289529,,,0,0
1413,14,13,12.66666666666667,1,.0256967939713418,,,0,0
1414,14,14,38,1,.0196740342476641,,,0,0
1415,14,15,38,1,.0005964551692753,,,0,0
1416,14,16,19,1,.0005032099058313,,,0,0
1417,14,17,19,1,.0034254115930922,,,0,0
1418,14,18,19,1,.0025849557589045,,,0,0
1501,15,1,38,1,.0000216363312204,,,0,0
1502,15,2,38,1,.0001704729529259,,,0,0
1503,15,3,38,1,.0000142698448081,,,0,0
1504,15,4,38,1,.0000638226549384,,,0,0
1505,15,5,38,1,.0000244589888564,,,0,0
1506,15,6,38,1,.0000388806587537,,,0,0
1507,15,7,38,1,.0001110848453263,,,0,0
1508,15,8,38,1,.0002022850128182,,,0,0
1509,15,9,38,1,.0001270812059568,,,0,0
1510,15,10,38,1,.0000424979667378,,,0,0
1511,15,11,38,1,.0001942094930474,,,0,0
1512,15,12,38,1,.0022364215582937,,,0,0
1513,15,13,38,1,.0005627270533776,,,0,0
1514,15,14,38,1,.0001141318976151,,,0,0
1515,15,15,38,1,.0059781040364786,,,0,0
1516,15,16,19,1,.0006196322529966,,,0,0
1517,15,17,38,1,.000581658484195,,,0,0
1518,15,18,38,1,.0003878683491341,,,0,0
1601,16,1,19,1,.0006833359189798,,,0,0
1602,16,2,19,1,.0023718409700716,,,0,0
1603,16,3,19,1,.0006309706478911,,,0,0
1604,16,4,19,1,.0011216542495216,,,0,0
1605,16,5,19,1,.0003629636492285,,,0,0
1606,16,6,19,1,.0027278626843473,,,0,0
1607,16,7,19,1,.0011442269735402,,,0,0
1608,16,8,19,1,.0044975418453591,,,0,0
1609,16,9,19,1,.0021631767212165,,,0,0
1610,16,10,19,1,.0018599396749545,,,0,0
1611,16,11,38,1,.0049539978675701,,,0,0
1612,16,12,19,1,.0006485058133952,,,0,0
1613,16,13,38,1,.0321767834825949,,,0,0
1614,16,14,38,1,.0038977079771788,,,0,0
1615,16,15,38,1,.0011482738340702,,,0,0
1616,16,16,19,1,.0135083621517461,,,0,0
1617,16,17,19,1,.0028533147389444,,,0,0
1618,16,18,38,1,.0013015468871985,,,0,0
1701,17,1,38,1,3.04012452437e-06,,,0,0
1702,17,2,38,1,.0000255566273802,,,0,0
1703,17,3,38,1,1.04648322445e-06,,,0,0
1704,17,4,38,1,4.75208259668e-07,,,0,0
1705,17,5,38,1,1.45664826527e-06,,,0,0
1706,17,6,38,1,.0000138341703603,,,0,0
1707,17,7,38,1,4.30343579130e-06,,,0,0
1708,17,8,38,1,.000011469065221,,,0,0
1709,17,9,38,1,.0000491758003445,,,0,0
1710,17,10,38,1,1.53969018086e-06,,,0,0
1711,17,11,38,1,1.87696685690e-06,,,0,0
1712,17,12,38,1,2.77072397268e-06,,,0,0
1713,17,13,38,1,.0000133704652103,,,0,0
1714,17,14,38,1,7.18384054923e-07,,,0,0
1715,17,15,38,1,.0005033660188231,,,0,0
1716,17,16,38,1,1.31847350054e-06,,,0,0
1717,17,17,19,1,.0028896871567904,,,0,0
1718,17,18,19,1,.0000107961093835,,,0,0
1801,18,1,38,1,.0002692793417185,,,0,0
